index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,counted_pct
85,105206,,,,,,,,,,,,,,,,,,16.2
86,105297,,,,,,,,,,,,,,,,,,56.1
87,105330,2011,30.7,3.8,29.5,19.4,51.5,11.5,4.4,11.5,62.5,4.6,8.6,8,68.2,7.8,2.8,2.9,58.8
88,105349,,,,,,,,,,,,,,,,,,6.4
89,105428,,,,,,,,,,,,,,,,,,16.8
90,105516,,,,,,,,,,,,,,,,,,27.7
91,105525,,,,,,,,,,,,,,,,,,28.5
92,105534,,,,,,,,,,,,,,,,,,
93,105543,,,,,,,,,,,,,,,,,,
94,105589,,,,,,,,,,,,,,,,,,33.2
95,105659,,,,,,,,,,,,,,,,,,
96,105668,,,,,,,,,,,,,,,,,,5
97,105747,,,,,,,,,,,,,,,,,,27.1
98,105792,,,,,,,,,,,,,,,,,,16.8
99,105899,,,,,,,,,,,,,,,,,,47.8
100,106041,,,,,,,,,,,,,,,,,,
101,106102,,,,,,,,,,,,,,,,,,32.3
102,106148,,,,,,,,,,,,,,,,,,22.3
103,106245,,,,,,,,,,,,,,,,,,41
104,106306,,,,,,,,,,,,,,,,,,100
105,106342,,,,,,,,,,,,,,,,,,68.9
106,106397,2010,35.7,3,34.9,10.6,58.8,9.2,4.7,7.5,50.9,6.6,15,6.5,59.1,9.8,3.5,5.3,69.1
107,106412,,,,,,,,,,,,,,,,,,81.2
108,106449,,,,,,,,,,,,,,,,,,61.5
109,106458,2011,18.5,4.1,29.8,11.7,36.2,6.8,7.4,8.8,45,9.9,14.7,7.1,53,11.7,4.5,4.7,65.1
110,106467,,,,,,,,,,,,,,,,,,70.7
111,106485,2010,11.1,1.4,20.5,16.1,29.3,6.4,10.9,11.4,10.8,5.7,11.4,13.1,13.1,8,0,0,69.2
112,106625,,,,,,,,,,,,,,,,,,61
113,106704,,,,,,,,,,,,,,,,,,72.9
114,106713,,,,,,,,,,,,,,,,,,54.4
115,106795,,,,,,,,,,,,,,,,,,30.2
116,106810,,,,,,,,,,,,,,,,,,86.6
117,106883,,,,,,,,,,,,,,,,,,48.9
118,106980,,,,,,,,,,,,,,,,,,50.4
119,106999,,,,,,,,,,,,,,,,,,57.4
120,107044,,,,,,,,,,,,,,,,,,80.7
121,107071,,,,,,,,,,,,,,,,,,73.4
122,107080,,,,,,,,,,,,,,,,,,96.1
